!time         log(Av)       log(n)        log(Tg)       log(Td)       
!(yr)         log(mag)      log(cm-3)     log(K)        log(K)        
2.20673e+06   1.00000e+00   5.30103e+00   1.06500e+00   1.04696e+00   
2.37137e+06   1.00000e+00   5.30103e+00   1.06499e+00   1.04696e+00   
2.54830e+06   1.00000e+00   5.30103e+00   1.06499e+00   1.04696e+00   
2.73842e+06   1.00000e+00   5.30103e+00   1.06498e+00   1.04696e+00   
2.94273e+06   1.00000e+00   5.30103e+00   1.06497e+00   1.04696e+00   
3.16228e+06   1.00000e+00   5.30103e+00   1.06496e+00   1.04696e+00   
3.39821e+06   1.00000e+00   5.30103e+00   1.06496e+00   1.04696e+00   
3.65174e+06   1.00000e+00   5.30103e+00   1.06495e+00   1.04696e+00   
3.92419e+06   1.00000e+00   5.30103e+00   1.06494e+00   1.04696e+00   
4.21697e+06   1.00000e+00   5.30103e+00   1.06494e+00   1.04696e+00   
4.53158e+06   1.00000e+00   5.30103e+00   1.06493e+00   1.04696e+00   
4.86968e+06   1.00000e+00   5.30103e+00   1.06493e+00   1.04696e+00   
5.23299e+06   1.00000e+00   5.30103e+00   1.06492e+00   1.04696e+00   
5.62341e+06   1.00000e+00   5.30103e+00   1.06492e+00   1.04696e+00   
6.04296e+06   1.00000e+00   5.30103e+00   1.06491e+00   1.04696e+00   
6.49382e+06   1.00000e+00   5.30103e+00   1.06491e+00   1.04696e+00   
6.97831e+06   1.00000e+00   5.30103e+00   1.06490e+00   1.04696e+00   
7.49894e+06   1.00000e+00   5.30103e+00   1.06490e+00   1.04696e+00   
8.05842e+06   1.00000e+00   5.30103e+00   1.06489e+00   1.04696e+00   
8.65964e+06   1.00000e+00   5.30103e+00   1.06489e+00   1.04696e+00   
9.30572e+06   1.00000e+00   5.30103e+00   1.06488e+00   1.04696e+00   
1.00000e+07   1.00000e+00   5.30103e+00   1.06488e+00   1.04696e+00   
1.07461e+07   1.00000e+00   5.30103e+00   1.06487e+00   1.04696e+00   
1.15478e+07   1.00000e+00   5.30103e+00   1.06486e+00   1.04696e+00   
1.24094e+07   1.00000e+00   5.30103e+00   1.06486e+00   1.04696e+00   
1.33352e+07   1.00000e+00   5.30103e+00   1.06485e+00   1.04696e+00   
1.43301e+07   1.00000e+00   5.30103e+00   1.06485e+00   1.04696e+00   
1.53993e+07   1.00000e+00   5.30103e+00   1.06484e+00   1.04696e+00   
1.65482e+07   1.00000e+00   5.30103e+00   1.06483e+00   1.04696e+00   
1.77828e+07   1.00000e+00   5.30103e+00   1.06483e+00   1.04696e+00   
1.91095e+07   1.00000e+00   5.30103e+00   1.06482e+00   1.04696e+00   
2.05353e+07   1.00000e+00   5.30103e+00   1.06481e+00   1.04696e+00   
2.20673e+07   1.00000e+00   5.30103e+00   1.06481e+00   1.04696e+00   
2.37137e+07   1.00000e+00   5.30103e+00   1.06480e+00   1.04696e+00   
2.54830e+07   1.00000e+00   5.30103e+00   1.06480e+00   1.04696e+00   
2.73842e+07   1.00000e+00   5.30103e+00   1.06479e+00   1.04696e+00   
2.94273e+07   1.00000e+00   5.30103e+00   1.06478e+00   1.04696e+00   
3.16228e+07   1.00000e+00   5.30103e+00   1.06478e+00   1.04696e+00   
3.39821e+07   1.00000e+00   5.30103e+00   1.06477e+00   1.04696e+00   
3.65174e+07   1.00000e+00   5.30103e+00   1.06477e+00   1.04696e+00   
3.92419e+07   1.00000e+00   5.30103e+00   1.06476e+00   1.04696e+00   
4.21697e+07   1.00000e+00   5.30103e+00   1.06475e+00   1.04696e+00   
4.53158e+07   1.00000e+00   5.30103e+00   1.06475e+00   1.04696e+00   
4.86968e+07   1.00000e+00   5.30103e+00   1.06475e+00   1.04696e+00   
5.23299e+07   1.00000e+00   5.30103e+00   1.06474e+00   1.04696e+00   
5.62341e+07   1.00000e+00   5.30103e+00   1.06474e+00   1.04696e+00   
6.04296e+07   1.00000e+00   5.30103e+00   1.06474e+00   1.04696e+00   
6.49382e+07   1.00000e+00   5.30103e+00   1.06474e+00   1.04696e+00   
6.97831e+07   1.00000e+00   5.30103e+00   1.06476e+00   1.04696e+00   
7.49894e+07   1.00000e+00   5.30103e+00   1.06485e+00   1.04696e+00   
8.05842e+07   1.00000e+00   5.30103e+00   1.06494e+00   1.04696e+00   
8.65964e+07   1.00000e+00   5.30103e+00   1.06503e+00   1.04696e+00   
9.30572e+07   1.00000e+00   5.30103e+00   1.06510e+00   1.04696e+00   
1.00000e+08   1.00000e+00   5.30103e+00   1.06515e+00   1.04696e+00   
