! na - neutral gas cooling by atomic emission, cooling < 0., [erg cm-3 s-1]
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! ni - neutral gas heating by neutral-ion collisions
! ne - neutral gas heating by neutral-electron collisions
! nd - neutral gas heating by neutral-dust collisions
! nch - neutral gas heating by chemical reactions
! nh2-h - neutral gas cooling by H2-H dissociation (is included in previous parameter nch)
! ph - heating by photoeffect on dust grains
! cr - heating by cosmic rays
! rlh2 - radiative energy loss by H2 molecule
! ih2 - ion fluid cooling via excitation of H2 via ion-H2 collisions
! in - ion gas component heating by neutral-ion collisions
! ie - ion gas component heating by ion-electron collisions
! ich - ion gas component heating by chemical reactions
! ea - electron component cooling by atomic emission
! eh2 - electron component cooling by H2 emission
! eh2o - electron component cooling by H2O emission
! en - electron component heating by neutral-electron collisions
! ei - electron component heating by ion-electron collisions
! ech - electron component heating by chemical reactions
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          
!t(yr)/z(cm) na          nh2         nh2o        nco         noh         nnh3        nch3oh      ni          ne          nd          nch         nh2-h       ph          cr          rlh2        ih2         in          ie          ich         ea          eh2         eh2o        en          ei          ech         
1.33352e+01  -7.251e-25  4.612e-27   -2.785e-29  -2.341e-25  0.000e+00   0.000e+00   0.000e+00   2.018e-23   8.882e-26   1.356e-24   4.106e-22   -3.859e-122 1.034e-26   3.084e-25   1.054e-25   0.000e+00   -2.018e-23  -5.773e-26  1.962e-23   -2.117e-25  2.890e-28   -1.220e-29  -8.882e-26  5.773e-26   -3.700e-25  
1.43301e+01  -7.355e-25  4.797e-27   -2.797e-29  -2.526e-25  0.000e+00   0.000e+00   0.000e+00   2.047e-23   9.014e-26   1.353e-24   4.172e-22   -4.213e-122 1.034e-26   3.084e-25   1.056e-25   0.000e+00   -2.047e-23  -6.401e-26  1.992e-23   -2.145e-25  2.902e-28   -1.220e-29  -9.014e-26  6.401e-26   -3.680e-25  
1.53993e+01  -7.467e-25  4.980e-27   -2.811e-29  -2.717e-25  0.000e+00   0.000e+00   0.000e+00   2.073e-23   9.133e-26   1.349e-24   4.234e-22   -4.598e-122 1.034e-26   3.084e-25   1.058e-25   0.000e+00   -2.073e-23  -7.011e-26  2.020e-23   -2.171e-25  2.914e-28   -1.220e-29  -9.133e-26  7.011e-26   -3.656e-25  
1.65482e+01  -7.571e-25  5.160e-27   -2.825e-29  -2.911e-25  0.000e+00   0.000e+00   0.000e+00   2.097e-23   9.242e-26   1.345e-24   4.294e-22   -5.014e-122 1.034e-26   3.084e-25   1.061e-25   0.000e+00   -2.097e-23  -7.603e-26  2.045e-23   -2.195e-25  2.923e-28   -1.220e-29  -9.242e-26  7.603e-26   -3.630e-25  
1.77828e+01  -7.683e-25  5.335e-27   -2.841e-29  -3.108e-25  0.000e+00   0.000e+00   0.000e+00   2.119e-23   9.338e-26   1.341e-24   4.350e-22   -5.466e-122 1.034e-26   3.084e-25   1.063e-25   0.000e+00   -2.119e-23  -8.177e-26  2.068e-23   -2.217e-25  2.932e-28   -1.220e-29  -9.338e-26  8.177e-26   -3.600e-25  
1.91095e+01  -7.784e-25  5.504e-27   -2.858e-29  -3.307e-25  0.000e+00   0.000e+00   0.000e+00   2.137e-23   9.424e-26   1.336e-24   4.403e-22   -5.954e-122 1.034e-26   3.084e-25   1.065e-25   0.000e+00   -2.137e-23  -8.734e-26  2.087e-23   -2.237e-25  2.938e-28   -1.220e-29  -9.424e-26  8.734e-26   -3.568e-25  
2.05353e+01  -7.892e-25  5.667e-27   -2.876e-29  -3.508e-25  0.000e+00   0.000e+00   0.000e+00   2.153e-23   9.498e-26   1.331e-24   4.453e-22   -6.483e-122 1.034e-26   3.084e-25   1.068e-25   0.000e+00   -2.153e-23  -9.275e-26  2.105e-23   -2.255e-25  2.943e-28   -1.220e-29  -9.498e-26  9.275e-26   -3.532e-25  
2.20673e+01  -7.996e-25  5.823e-27   -2.897e-29  -3.711e-25  0.000e+00   0.000e+00   0.000e+00   2.167e-23   9.562e-26   1.325e-24   4.499e-22   -7.054e-122 1.034e-26   3.084e-25   1.071e-25   0.000e+00   -2.167e-23  -9.801e-26  2.119e-23   -2.272e-25  2.946e-28   -1.220e-29  -9.562e-26  9.801e-26   -3.494e-25  
2.37137e+01  -8.105e-25  5.970e-27   -2.918e-29  -3.916e-25  0.000e+00   0.000e+00   0.000e+00   2.178e-23   9.616e-26   1.319e-24   4.542e-22   -7.671e-122 1.034e-26   3.084e-25   1.074e-25   0.000e+00   -2.178e-23  -1.031e-25  2.132e-23   -2.287e-25  2.946e-28   -1.220e-29  -9.616e-26  1.031e-25   -3.452e-25  
2.54830e+01  -8.203e-25  6.109e-27   -2.942e-29  -4.121e-25  0.000e+00   0.000e+00   0.000e+00   2.187e-23   9.661e-26   1.312e-24   4.582e-22   -8.337e-122 1.034e-26   3.084e-25   1.077e-25   0.000e+00   -2.187e-23  -1.081e-25  2.142e-23   -2.300e-25  2.945e-28   -1.220e-29  -9.661e-26  1.081e-25   -3.407e-25  
