!time         log(Av)       log(n)        log(Tg)       log(Td)       
!(yr)         log(mag)      log(cm-3)     log(K)        log(K)        
2.37137e+03   1.00000e+00   4.30103e+00   1.15667e+00   9.67900e-01   
2.54830e+03   1.00000e+00   4.30103e+00   1.15736e+00   9.67901e-01   
2.73842e+03   1.00000e+00   4.30103e+00   1.15797e+00   9.67901e-01   
2.94273e+03   1.00000e+00   4.30103e+00   1.15853e+00   9.67902e-01   
3.16228e+03   1.00000e+00   4.30103e+00   1.15903e+00   9.67902e-01   
3.39821e+03   1.00000e+00   4.30103e+00   1.15949e+00   9.67902e-01   
3.65174e+03   1.00000e+00   4.30103e+00   1.15991e+00   9.67902e-01   
3.92419e+03   1.00000e+00   4.30103e+00   1.16031e+00   9.67903e-01   
4.21697e+03   1.00000e+00   4.30103e+00   1.16069e+00   9.67903e-01   
4.53158e+03   1.00000e+00   4.30103e+00   1.16106e+00   9.67903e-01   
4.86968e+03   1.00000e+00   4.30103e+00   1.16143e+00   9.67903e-01   
5.23299e+03   1.00000e+00   4.30103e+00   1.16180e+00   9.67904e-01   
5.62341e+03   1.00000e+00   4.30103e+00   1.16219e+00   9.67904e-01   
6.04296e+03   1.00000e+00   4.30103e+00   1.16259e+00   9.67904e-01   
6.49382e+03   1.00000e+00   4.30103e+00   1.16301e+00   9.67904e-01   
6.97831e+03   1.00000e+00   4.30103e+00   1.16344e+00   9.67905e-01   
7.49894e+03   1.00000e+00   4.30103e+00   1.16390e+00   9.67905e-01   
8.05842e+03   1.00000e+00   4.30103e+00   1.16438e+00   9.67905e-01   
8.65964e+03   1.00000e+00   4.30103e+00   1.16488e+00   9.67906e-01   
9.30572e+03   1.00000e+00   4.30103e+00   1.16539e+00   9.67906e-01   
1.00000e+04   1.00000e+00   4.30103e+00   1.16592e+00   9.67906e-01   
1.07461e+04   1.00000e+00   4.30103e+00   1.16647e+00   9.67907e-01   
1.15478e+04   1.00000e+00   4.30103e+00   1.16702e+00   9.67907e-01   
1.24094e+04   1.00000e+00   4.30103e+00   1.16758e+00   9.67907e-01   
