! kin - kinetic energy flux (neutral and ions, dust grains), [erg cm-2 s-1]
! thm - thermal energy flux (neutrals, ions, electrons)
! mgn - magnetic energy flux
! ncool - total integrated gas cooling by line emission (energy transfered via collisions to specimen excitation), cooling < 0., [erg cm-2 s-1]
! na  - integrated neutral gas cooling by atomic emission
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! kin_n - kinetic energy flux of neutrals
! kin_i - kinetic energy flux of ions (no PAH and small grains)
! kin_d - kinetic energy flux of dust (including PAH and small grains)
! thm_n - thermal energy flux of neutrals
! thm_i - thermal energy flux of ions, electrons, small negative grains (PAH)
! totfl - total flux, [erg cm-2 s-1]
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          
!z(cm)       kin         thm         mgn         ncool       na          nh2         nh2o        nco         noh         nnh3        nch3oh      kin_n       kin_i       kin_d       thm_n       thm_i       totfl       
1.53908e+16  3.542e-01   3.868e-04   4.796e-03   6.264e-08   0.000e+00   6.264e-08   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.518e-01   2.004e-07   2.441e-03   3.868e-04   3.966e-09   3.594e-01   
1.55271e+16  3.539e-01   4.310e-04   4.918e-03   7.754e-08   0.000e+00   7.754e-08   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.516e-01   1.876e-07   2.319e-03   4.310e-04   4.899e-09   3.593e-01   
1.56545e+16  3.536e-01   4.877e-04   5.055e-03   8.131e-08   0.000e+00   8.131e-08   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.514e-01   1.751e-07   2.192e-03   4.877e-04   6.039e-09   3.592e-01   
1.57888e+16  3.532e-01   5.706e-04   5.229e-03   7.632e-09   0.000e+00   7.632e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.512e-01   1.612e-07   2.044e-03   5.706e-04   7.591e-09   3.590e-01   
1.59050e+16  3.528e-01   6.691e-04   5.409e-03   -3.552e-07  0.000e+00   -3.552e-07  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.509e-01   1.488e-07   1.906e-03   6.691e-04   9.271e-09   3.589e-01   
1.60251e+16  3.523e-01   8.066e-04   5.631e-03   -2.032e-06  0.000e+00   -2.032e-06  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.505e-01   1.358e-07   1.756e-03   8.066e-04   1.133e-08   3.587e-01   
1.61509e+16  3.516e-01   1.000e-03   5.909e-03   -9.158e-06  0.000e+00   -9.158e-06  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.500e-01   1.221e-07   1.594e-03   1.000e-03   1.379e-08   3.586e-01   
1.62826e+16  3.508e-01   1.263e-03   6.259e-03   -3.486e-05  0.000e+00   -3.486e-05  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.494e-01   1.083e-07   1.420e-03   1.263e-03   1.668e-08   3.584e-01   
1.64220e+16  3.497e-01   1.605e-03   6.704e-03   -1.084e-04  0.000e+00   -1.084e-04  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.485e-01   9.510e-08   1.237e-03   1.605e-03   2.007e-08   3.582e-01   
1.65675e+16  3.483e-01   2.040e-03   7.263e-03   -2.649e-04  0.000e+00   -2.649e-04  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.473e-01   8.425e-08   1.054e-03   2.040e-03   2.382e-08   3.579e-01   
1.66676e+16  3.472e-01   2.421e-03   7.706e-03   -4.251e-04  0.000e+00   -4.251e-04  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.462e-01   7.909e-08   9.362e-04   2.421e-03   2.635e-08   3.577e-01   
1.67725e+16  3.457e-01   2.942e-03   8.224e-03   -6.310e-04  0.000e+00   -6.310e-04  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.449e-01   7.572e-08   8.214e-04   2.942e-03   2.877e-08   3.575e-01   
1.68928e+16  3.437e-01   3.767e-03   8.884e-03   -9.005e-04  0.000e+00   -9.005e-04  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.430e-01   7.351e-08   7.035e-04   3.767e-03   3.114e-08   3.573e-01   
1.69925e+16  3.418e-01   4.662e-03   9.483e-03   -1.156e-03  0.000e+00   -1.156e-03  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.412e-01   7.163e-08   6.172e-04   4.662e-03   3.319e-08   3.571e-01   
1.70989e+16  3.394e-01   5.787e-03   1.017e-02   -1.491e-03  0.000e+00   -1.491e-03  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.389e-01   6.803e-08   5.366e-04   5.787e-03   3.334e-08   3.569e-01   
1.72141e+16  3.366e-01   7.168e-03   1.096e-02   -1.950e-03  0.000e+00   -1.950e-03  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.361e-01   6.147e-08   4.619e-04   7.168e-03   3.258e-08   3.566e-01   
1.73430e+16  3.330e-01   8.939e-03   1.189e-02   -2.579e-03  0.000e+00   -2.579e-03  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.326e-01   5.163e-08   3.923e-04   8.939e-03   3.166e-08   3.564e-01   
1.74803e+16  3.288e-01   1.105e-02   1.292e-02   -3.423e-03  0.000e+00   -3.423e-03  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.285e-01   4.045e-08   3.318e-04   1.105e-02   2.869e-08   3.562e-01   
1.76279e+16  3.238e-01   1.343e-02   1.408e-02   -4.632e-03  0.000e+00   -4.632e-03  0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.235e-01   2.981e-08   2.795e-04   1.343e-02   2.595e-08   3.560e-01   
