! na - neutral gas cooling by atomic emission, cooling < 0., [erg cm-3 s-1]
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! ni - neutral gas heating by neutral-ion collisions
! ne - neutral gas heating by neutral-electron collisions
! nd - neutral gas heating by neutral-dust collisions
! nch - neutral gas heating by chemical reactions
! nh2-h - neutral gas cooling by H2-H dissociation (is included in previous parameter nch)
! ph - heating by photoeffect on dust grains
! cr - heating by cosmic rays
! rlh2 - radiative energy loss by H2 molecule (total and only within state v = 0)
! ih2 - ion fluid cooling via excitation of H2 via ion-H2 collisions
! in - ion gas component heating by neutral-ion collisions
! ie - ion gas component heating by ion-electron collisions
! ich - ion gas component heating by chemical reactions
! ea - electron component cooling by atomic emission
! eh2 - electron component cooling by H2 emission
! eh2o - electron component cooling by H2O emission
! en - electron component heating by neutral-electron collisions
! ei - electron component heating by ion-electron collisions
! ech - electron component heating by chemical reactions
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          
!t(yr)/z(cm) na          nh2         nh2o        nco         noh         nnh3        nch3oh      ni          ne          nd          nch         nh2-h       ph          cr          rlh2        rlh2v0      ih2         in          ie          ich         ea          eh2         eh2o        en          ei          ech         
2.20673e+00  -4.921e-25  1.035e-26   -2.504e-29  -1.534e-26  0.000e+00   0.000e+00   0.000e+00   1.189e-23   5.223e-26   -7.311e-26  2.749e-22   -2.313e-121 1.034e-25   3.084e-24   9.567e-25   7.087e-27   3.873e-27   -1.189e-23  1.290e-25   1.086e-23   -1.566e-25  2.882e-27   -1.396e-29  -5.223e-26  -1.290e-25  -5.707e-25  
2.28757e+00  -4.971e-25  1.070e-26   -2.476e-29  -1.626e-26  0.000e+00   0.000e+00   0.000e+00   1.213e-23   5.326e-26   -7.331e-26  2.785e-22   -2.414e-121 1.034e-25   3.084e-24   9.570e-25   7.291e-27   4.014e-27   -1.213e-23  1.254e-25   1.109e-23   -1.589e-25  2.887e-27   -1.379e-29  -5.326e-26  -1.254e-25  -5.711e-25  
2.37137e+00  -5.020e-25  1.107e-26   -2.451e-29  -1.724e-26  0.000e+00   0.000e+00   0.000e+00   1.237e-23   5.431e-26   -7.353e-26  2.821e-22   -2.520e-121 1.034e-25   3.084e-24   9.573e-25   7.499e-27   4.161e-27   -1.237e-23  1.219e-25   1.133e-23   -1.612e-25  2.892e-27   -1.365e-29  -5.431e-26  -1.219e-25  -5.714e-25  
2.45824e+00  -5.070e-25  1.144e-26   -2.428e-29  -1.828e-26  0.000e+00   0.000e+00   0.000e+00   1.261e-23   5.537e-26   -7.375e-26  2.857e-22   -2.630e-121 1.034e-25   3.084e-24   9.577e-25   7.711e-27   4.312e-27   -1.261e-23  1.182e-25   1.158e-23   -1.636e-25  2.897e-27   -1.352e-29  -5.537e-26  -1.182e-25  -5.718e-25  
2.54830e+00  -5.121e-25  1.183e-26   -2.409e-29  -1.939e-26  0.000e+00   0.000e+00   0.000e+00   1.285e-23   5.644e-26   -7.399e-26  2.894e-22   -2.746e-121 1.034e-25   3.084e-24   9.581e-25   7.928e-27   4.469e-27   -1.285e-23  1.145e-25   1.183e-23   -1.659e-25  2.902e-27   -1.341e-29  -5.644e-26  -1.145e-25  -5.721e-25  
2.64165e+00  -5.170e-25  1.223e-26   -2.391e-29  -2.057e-26  0.000e+00   0.000e+00   0.000e+00   1.310e-23   5.754e-26   -7.424e-26  2.932e-22   -2.868e-121 1.034e-25   3.084e-24   9.584e-25   8.150e-27   4.632e-27   -1.310e-23  1.108e-25   1.208e-23   -1.683e-25  2.908e-27   -1.330e-29  -5.754e-26  -1.108e-25  -5.724e-25  
2.73842e+00  -5.217e-25  1.264e-26   -2.376e-29  -2.182e-26  0.000e+00   0.000e+00   0.000e+00   1.335e-23   5.864e-26   -7.450e-26  2.970e-22   -2.995e-121 1.034e-25   3.084e-24   9.588e-25   8.376e-27   4.801e-27   -1.335e-23  1.070e-25   1.233e-23   -1.708e-25  2.913e-27   -1.321e-29  -5.864e-26  -1.070e-25  -5.728e-25  
2.83874e+00  -5.265e-25  1.306e-26   -2.363e-29  -2.315e-26  0.000e+00   0.000e+00   0.000e+00   1.361e-23   5.976e-26   -7.477e-26  3.009e-22   -3.128e-121 1.034e-25   3.084e-24   9.592e-25   8.607e-27   4.975e-27   -1.361e-23  1.031e-25   1.259e-23   -1.732e-25  2.919e-27   -1.313e-29  -5.976e-26  -1.031e-25  -5.731e-25  
2.94273e+00  -5.314e-25  1.349e-26   -2.352e-29  -2.456e-26  0.000e+00   0.000e+00   0.000e+00   1.386e-23   6.089e-26   -7.506e-26  3.048e-22   -3.267e-121 1.034e-25   3.084e-24   9.596e-25   8.842e-27   5.156e-27   -1.386e-23  9.921e-26   1.285e-23   -1.757e-25  2.924e-27   -1.307e-29  -6.089e-26  -9.921e-26  -5.734e-25  
3.05053e+00  -5.362e-25  1.394e-26   -2.343e-29  -2.606e-26  0.000e+00   0.000e+00   0.000e+00   1.412e-23   6.203e-26   -7.536e-26  3.088e-22   -3.413e-121 1.034e-25   3.084e-24   9.601e-25   9.081e-27   5.344e-27   -1.412e-23  9.525e-26   1.312e-23   -1.783e-25  2.930e-27   -1.301e-29  -6.203e-26  -9.525e-26  -5.737e-25  
3.16228e+00  -5.407e-25  1.440e-26   -2.335e-29  -2.766e-26  0.000e+00   0.000e+00   0.000e+00   1.439e-23   6.319e-26   -7.567e-26  3.128e-22   -3.566e-121 1.034e-25   3.084e-24   9.605e-25   9.325e-27   5.538e-27   -1.439e-23  9.123e-26   1.338e-23   -1.808e-25  2.936e-27   -1.296e-29  -6.319e-26  -9.123e-26  -5.739e-25  
